표현 장면명,REF 코드,감정 증거,대사·행동 배열,대표성,마지막 검토,상태,상태 변화,상황군,식별자 비노출,역할 표기,원문 위치,원문 장면,장면 조건,장면 종료 방식,정리문 제외,정보 공개 순서,진입 방식,표면 모방 위험,표현 목적,표현 범주,후속 회수
형식상 성공과 높은 보상을 당사자의 불만족 표정으로 거절하고 현재 욕망을 다시 묻는 장면,REF-46,"공략자는 쉬운 종료를 거부하고, 현지 인물은 체념과 두려움 속에서 긴 침묵 끝에 자기 욕망을 처음 드러낸다.",과거 기억 상영 → 성공·점수·보상 제안 → 종료 발화 차단 → 포탈 개방 저지 → 왜 불만족하냐는 질문 → 당사자의 표정 지적 → 이전 소망 복기 → 평화로운 탈출 답변 거절 → 힘 없음 고백 → 선택 책임 제시 → 복수 질문 → 긴 침묵 → 현재 의사 확인 → 새 루트 선언,대표,2026년 8월 5일,준비,형식상 성공한 공략 → 종료 거부 → 이전 회차 소망 무효화 → 현재 당사자의 새 선택으로 루트 재분기,"관계 갈등, 권한·위계, 정보·비밀, 평가·판정",Yes,"공략자, 현재 현지 인물 A, 원본 인물 A, 시스템","912~913화 419,221~419,498행","높은 점수와 종료 제안을 현재 당사자의 불만족 표정 때문에 거절하는 장면 (%EB%86%92%EC%9D%80%20%EC%A0%90%EC%88%98%EC%99%80%20%EC%A2%85%EB%A3%8C%20%EC%A0%9C%EC%95%88%EC%9D%84%20%ED%98%84%EC%9E%AC%20%EB%8B%B9%EC%82%AC%EC%9E%90%EC%9D%98%20%EB%B6%88%EB%A7%8C%EC%A1%B1%20%ED%91%9C%EC%A0%95%20%EB%95%8C%EB%AC%B8%EC%97%90%20%EA%B1%B0%EC%A0%88%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81c2b8d4caf5ccc22e3e.csv), 이전 회차의 소망을 그대로 인정하지 않고 현재 당사자에게 다시 선택을 요구하는 장면 (%EC%9D%B4%EC%A0%84%20%ED%9A%8C%EC%B0%A8%EC%9D%98%20%EC%86%8C%EB%A7%9D%EC%9D%84%20%EA%B7%B8%EB%8C%80%EB%A1%9C%20%EC%9D%B8%EC%A0%95%ED%95%98%EC%A7%80%20%EC%95%8A%EA%B3%A0%20%ED%98%84%EC%9E%AC%20%EB%8B%B9%EC%82%AC%EC%9E%90%EC%97%90%EA%B2%8C%20%EB%8B%A4%EC%8B%9C%20%EC%84%A0%ED%83%9D%EC%9D%84%20%EC%9A%94%EA%B5%AC%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae810da06bd175991c80a7.csv)",시스템은 성공을 선언하지만 현재 당사자의 만족과 진짜 욕망은 확인되지 않음,보상 수령 대신 현재 당사자의 선택을 받아 다른 루트로 넘어감,Yes,형식상 성공 → 종료 거절 → 불만족 표정 → 이전 답변 → 체념 원인 → 선택 책임 → 현재 욕망,시스템이 성공 장면과 높은 점수를 제시하며 보상을 부여하려는 순간에 시작함,높음,,,개인의 현재 욕망이 공략대 전체의 목표로 번역되며 탈출 중심 계획이 파괴 중심 루트로 바뀜
동의 없는 희귀 보상을 슬롯 점유·삭제 비용·미래 조합 훼손으로 재분류하는 장면,REF-46,감사할 이유가 있어도 선택권 침해와 장기 손해를 별도 장부로 계산한다.,고마움 인정 → 별도 계산 선언 → 동의 없는 흡수 지적 → 삭제 비용 제시 → 희귀성 반박 → 외부 전문가 질문 → 계획 훼손 판정 → 배상 요구,대표,2026년 8월 5일,준비,생존 보상으로 여겨진 희귀 능력 → 한정 슬롯 침해 → 복구 비용과 배상 책임,"성장·실패, 평가·판정, 협상·거래",Yes,"주인공, 마법사 A, 외부 전문가 B","41~42화 19,665~19,775행",비동의 희귀 보상을 슬롯 훼손과 삭제 비용으로 다시 정산하는 장면 (%EB%B9%84%EB%8F%99%EC%9D%98%20%ED%9D%AC%EA%B7%80%20%EB%B3%B4%EC%83%81%EC%9D%84%20%EC%8A%AC%EB%A1%AF%20%ED%9B%BC%EC%86%90%EA%B3%BC%20%EC%82%AD%EC%A0%9C%20%EB%B9%84%EC%9A%A9%EC%9C%BC%EB%A1%9C%20%EB%8B%A4%EC%8B%9C%20%EC%A0%95%EC%82%B0%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8143b9b8f909b9f07276.csv),타인이 당사자의 생존을 위해 예정에 없던 희귀 능력을 강제로 슬롯에 넣음,희귀성보다 계획 훼손이 우선이라는 외부 판정으로 책임이 확정됨,Yes,구조의 공로 → 동의 부재 → 삭제 비용 → 미래 조합 손실 → 외부 검증,상대에게 고마운 감정과 장기 관계의 경계 설정을 분리하며 시작함,높음,,,
유용한 코어를 희생한 직후 사라진 능력을 몸으로 검증하고 동료 지원 구조까지 다시 짜는 장면,REF-46,상위 능력 획득의 환호 뒤 곧바로 상실된 재생을 확인하며 기대와 불안을 동시에 계산한다.,낮은 생존율 → 유용한 코어 희생 → 상위 능력 획득 → 능력 목록 → 손등 자해 → 재생 상실 확인 → 후보 조합 재계산 → 전투 진형 재배치 → 포션·후열 지원 검증,대표,2026년 8월 5일,준비,기존 안정형 보호 역할 → 공격·내성 강화와 재생 상실 → 포션·후열 지원 의존형 보호 역할,"성장·실패, 전투·대결, 조직·제도",Yes,"주인공, 적대자 A, 지원자 B, 근접 동료 C, 방패 동료 D","138~140화 66,821~67,823행","생존 확률을 높이기 위해 현재도 유용한 코어를 희생하고 상위 선택지를 여는 장면 (%EC%83%9D%EC%A1%B4%20%ED%99%95%EB%A5%A0%EC%9D%84%20%EB%86%92%EC%9D%B4%EA%B8%B0%20%EC%9C%84%ED%95%B4%20%ED%98%84%EC%9E%AC%EB%8F%84%20%EC%9C%A0%EC%9A%A9%ED%95%9C%20%EC%BD%94%EC%96%B4%EB%A5%BC%20%ED%9D%AC%EC%83%9D%ED%95%98%EA%B3%A0%20%EC%83%81%EC%9C%84%20%EC%84%A0%ED%83%9D%EC%A7%80%EB%A5%BC%20%EC%97%AC%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8177a84de58f81e62206.csv), 능력 목록 직후 몸을 베어 사라진 재생을 확인하고 조합을 다시 계산하는 장면 (%EB%8A%A5%EB%A0%A5%20%EB%AA%A9%EB%A1%9D%20%EC%A7%81%ED%9B%84%20%EB%AA%B8%EC%9D%84%20%EB%B2%A0%EC%96%B4%20%EC%82%AC%EB%9D%BC%EC%A7%84%20%EC%9E%AC%EC%83%9D%EC%9D%84%20%ED%99%95%EC%9D%B8%ED%95%98%EA%B3%A0%20%EC%A1%B0%ED%95%A9%EC%9D%84%20%EB%8B%A4%EC%8B%9C%20%EA%B3%84%EC%82%B0%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81ae98fafb14bb45223a.csv), 재생 상실 뒤 포션 담당과 후열 보호 위치를 다시 짜 새 역할을 검증하는 장면 (%EC%9E%AC%EC%83%9D%20%EC%83%81%EC%8B%A4%20%EB%92%A4%20%ED%8F%AC%EC%85%98%20%EB%8B%B4%EB%8B%B9%EA%B3%BC%20%ED%9B%84%EC%97%B4%20%EB%B3%B4%ED%98%B8%20%EC%9C%84%EC%B9%98%EB%A5%BC%20%EB%8B%A4%EC%8B%9C%20%EC%A7%9C%20%EC%83%88%20%EC%97%AD%ED%95%A0%EC%9D%84%20%EA%B2%80%EC%A6%9D%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81e78822d7839358199d.csv)",생존을 위해 현재도 유용한 코어를 희생하고 새 능력을 얻었으나 기존 재생과 인지 기능을 잃음,새 능력의 설명이 아니라 실제 장기전에서 지원자와 진형이 바뀐 결과로 닫힘,Yes,생존 위기 → 희생 선택 → 새 장점 → 사라진 기능 → 조합 재계산 → 팀 의존 변화,현재 전략으로는 생존 가능성이 매우 낮다는 계산에서 시작함,높음,,,
한정 치유를 자신에게 요구하지 않고 낮은 생명력을 더 많은 사람의 생존 가능성으로 환산하는 장면,REF-46,자기 안전을 높일 방법을 알면서도 보호 역할의 기준 때문에 요청하지 않는다.,과거 효율주의 회상 → 우선 보호 대상 확인 → 낯선 전사까지 범위 확대 → 방패 역할 자기 규정 → 치유 요구 거부 → 낮은 생명력으로 방어 상승 → 더 많은 구조 가능성 계산 → 합리적 선택 판정,대표,2026년 8월 5일,준비,개인 생존 최적화 가능 → 한정 치유를 타인에게 남김 → 자기 피해가 집단 생존 자원으로 전환,"보호·희생, 위기·생존, 전투·대결",Yes,"주인공, 치유자 A, 원정대 전사들","222화 109,141~109,239행",자기 생존용 치유를 요구하지 않고 생명력을 방어 자원으로 태우는 장면 (%EC%9E%90%EA%B8%B0%20%EC%83%9D%EC%A1%B4%EC%9A%A9%20%EC%B9%98%EC%9C%A0%EB%A5%BC%20%EC%9A%94%EA%B5%AC%ED%95%98%EC%A7%80%20%EC%95%8A%EA%B3%A0%20%EC%83%9D%EB%AA%85%EB%A0%A5%EC%9D%84%20%EB%B0%A9%EC%96%B4%20%EC%9E%90%EC%9B%90%EC%9C%BC%EB%A1%9C%20%ED%83%9C%EC%9A%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81db80bacc33d5901ba0.csv),치유를 자신에게 집중하면 안전하지만 다른 구성원이 죽을 가능성이 높아짐,희생 감정이 아니라 합리적 선택이라는 자기 판정으로 닫힘,Yes,자기 안전 가능성 → 역할 기준 → 타인 생존 가치 → 자원 배분 판단,과거 게임에서 효율만 중시했던 자신과 현재의 차이를 묻는 회상으로 시작함,높음,,,
새 빌드의 고점·명확한 카운터·다른 환경의 역전 해법을 연속 전투로 분리 검증하는 장면,REF-46,"주인공은 압도적으로 버티는 순간에도 본대를 믿고 역할을 나누며, 카운터 환경에서는 즉시 불가능을 인정한다.",보스 시선 점유 → 결손 재생 → 동료 공격권 확보 → 피해 누적 반격 → 다음 보스의 사용 효과 봉인 → 불가능 보고 → 퇴각 → 다른 생명력 소모 필드 → 적용 조건 연결 → 동료 투입 금지 → 단독 홀딩 → 종료,대표,2026년 8월 5일,준비,극재생의 압도적 유지력 → 사용 효과 봉인에서 역할 실패 → 다른 생명력 소모 환경에서 예상 밖 해법,"성장·실패, 위기·생존, 전투·대결",Yes,"주인공, 본대, 지휘부, 보스 A·B","909~917화 417,181~421,305행","보스 공격을 단독 감당하고 누적 피해를 동료 공격권과 반격 자원으로 바꾸는 장면 (%EB%B3%B4%EC%8A%A4%20%EA%B3%B5%EA%B2%A9%EC%9D%84%20%EB%8B%A8%EB%8F%85%20%EA%B0%90%EB%8B%B9%ED%95%98%EA%B3%A0%20%EB%88%84%EC%A0%81%20%ED%94%BC%ED%95%B4%EB%A5%BC%20%EB%8F%99%EB%A3%8C%20%EA%B3%B5%EA%B2%A9%EA%B6%8C%EA%B3%BC%20%EB%B0%98%EA%B2%A9%20%EC%9E%90%EC%9B%90%EC%9C%BC%EB%A1%9C%20%EB%B0%94%EA%BE%B8%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8137bb97eab5b97a031b.csv), 사용 효과 봉인 환경에서 새 빌드의 카운터를 인정하고 퇴각을 수용하는 장면 (%EC%82%AC%EC%9A%A9%20%ED%9A%A8%EA%B3%BC%20%EB%B4%89%EC%9D%B8%20%ED%99%98%EA%B2%BD%EC%97%90%EC%84%9C%20%EC%83%88%20%EB%B9%8C%EB%93%9C%EC%9D%98%20%EC%B9%B4%EC%9A%B4%ED%84%B0%EB%A5%BC%20%EC%9D%B8%EC%A0%95%ED%95%98%EA%B3%A0%20%ED%87%B4%EA%B0%81%EC%9D%84%20%EC%88%98%EC%9A%A9%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae812e9208c0f541507e2a.csv), 생명력 소모 필드와 극재생의 연쇄를 발견해 동료를 빼고 혼자 보스를 붙잡는 장면 (%EC%83%9D%EB%AA%85%EB%A0%A5%20%EC%86%8C%EB%AA%A8%20%ED%95%84%EB%93%9C%EC%99%80%20%EA%B7%B9%EC%9E%AC%EC%83%9D%EC%9D%98%20%EC%97%B0%EC%87%84%EB%A5%BC%20%EB%B0%9C%EA%B2%AC%ED%95%B4%20%EB%8F%99%EB%A3%8C%EB%A5%BC%20%EB%B9%BC%EA%B3%A0%20%ED%98%BC%EC%9E%90%20%EB%B3%B4%EC%8A%A4%EB%A5%BC%20%EB%B6%99%EC%9E%A1%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8119a769f9cdaf141a0b.csv)","극단 전문화의 실제 고점과 약점, 환경별 상호작용을 연속 보스전에서 검증해야 함",카운터를 삭제하지 않고 다른 필드에서 조건 연쇄가 맞을 때만 해법으로 뒤집음,Yes,고점 → 팀 보상 → 명확한 카운터 → 실패 인정 → 다른 환경 조건 → 제한적 재성공,본대가 각자 역할을 수행하는 가운데 주인공이 보스 공격을 전담하며 시작함,높음,,,
극단적 재생을 몸으로 검증한 뒤 포기한 슬롯·생명력 비용·즉사 예외를 함께 장부화하는 장면,REF-46,신체 결손의 즉시 회복에 흥분하지만 곧바로 생명력 비용과 포기한 능력을 다시 계산한다.,예상 밖 손실 → 신체 결손 → 즉시 재생 → 직전 평가 철회 → 몸의 일부 선언 → 재생 비용 확인 → 포기한 슬롯 열거 → 새 조합 질문 → 즉사 예외 → 다음 목표 유지,대표,2026년 8월 5일,준비,새 선택의 손해 의심 → 극재생 고점 확인 → 포기 비용과 카운터가 남은 새 보호 역할,"성장·실패, 위기·생존, 평가·판정",Yes,"주인공, 동료 A, 능력 원형 존재","859화 396,748~397,040행","새 능력의 결손 재생을 몸으로 확인한 뒤 직전 손해 판정을 뒤집는 장면 (%EC%83%88%20%EB%8A%A5%EB%A0%A5%EC%9D%98%20%EA%B2%B0%EC%86%90%20%EC%9E%AC%EC%83%9D%EC%9D%84%20%EB%AA%B8%EC%9C%BC%EB%A1%9C%20%ED%99%95%EC%9D%B8%ED%95%9C%20%EB%92%A4%20%EC%A7%81%EC%A0%84%20%EC%86%90%ED%95%B4%20%ED%8C%90%EC%A0%95%EC%9D%84%20%EB%92%A4%EC%A7%91%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae813b82a7f282605f1aad.csv), 극단적 재생의 비용과 포기한 슬롯을 장부화하고 즉사 예외를 남기는 장면 (%EA%B7%B9%EB%8B%A8%EC%A0%81%20%EC%9E%AC%EC%83%9D%EC%9D%98%20%EB%B9%84%EC%9A%A9%EA%B3%BC%20%ED%8F%AC%EA%B8%B0%ED%95%9C%20%EC%8A%AC%EB%A1%AF%EC%9D%84%20%EC%9E%A5%EB%B6%80%ED%99%94%ED%95%98%EA%B3%A0%20%EC%A6%89%EC%82%AC%20%EC%98%88%EC%99%B8%EB%A5%BC%20%EB%82%A8%EA%B8%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae816e924dfc9f36b38a5b.csv)",새 능력의 고점과 예상 밖 손실이 동시에 드러나며 최종 조합을 다시 정해야 함,무적 선언이 아니라 즉사 예외와 다음 슬롯·사람 수색 목표를 남김,Yes,손실 → 핵심 효용 → 평가 수정 → 비용 → 포기 목록 → 한계와 다음 목표,새 정수의 원형 존재가 예상과 다른 방식으로 공격하는 시험에서 시작함,높음,,,
취향을 버리고 생존 역할을 먼저 정한 뒤 시작 장비와 이후 선택을 같은 방향으로 잠그는 장면,REF-46,주인공은 공격 역할에 대한 미련보다 반복 사망의 기억과 현실 생존을 우선한다.,공격 취향 회상 → 반복 실패 → 역할 질문 → 보호 역할 실험 성공 → 현실 방패 선택 → 가격·숙련·장기 역할 근거 → 후회 없음,대표,2026년 8월 5일,준비,공격 지향 후보 → 생존 우선 보호 역할 → 이후 장비·정수 선택의 기준 고정,"보호·희생, 성장·실패, 위기·생존",Yes,"주인공, 종족 공동체",3화 651~715행,공격 취향을 버리고 생존 효율과 최종 역할을 기준으로 시작 무기를 고르는 장면 (%EA%B3%B5%EA%B2%A9%20%EC%B7%A8%ED%96%A5%EC%9D%84%20%EB%B2%84%EB%A6%AC%EA%B3%A0%20%EC%83%9D%EC%A1%B4%20%ED%9A%A8%EC%9C%A8%EA%B3%BC%20%EC%B5%9C%EC%A2%85%20%EC%97%AD%ED%95%A0%EC%9D%84%20%EA%B8%B0%EC%A4%80%EC%9C%BC%EB%A1%9C%20%EC%8B%9C%EC%9E%91%20%EB%AC%B4%EA%B8%B0%EB%A5%BC%20%EA%B3%A0%EB%A5%B4%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81ec8999ef519fcd5422.csv),첫 선택이 장기 전투 역할을 고정하며 취향과 생존 효율이 충돌함,선택 근거를 세 가지로 닫고 즉시 다음 생존 문제로 넘어감,Yes,취향 → 실패 경험 → 역할 전환 가능성 → 현실 선택 근거,과거 플레이에서 같은 종족을 공격 역할로 운용했던 기억으로 시작함,중간,,,
보호받던 신입이 상실을 전쟁 권한으로 바꾸고 공유 행동으로 귀환자를 다시 판정하는 장면,REF-46,"옛 신입은 보호자를 잃은 복수와 재상실 공포로 압도적 힘을 쌓았고, 재회에서는 정체보다 함께한 행동을 기준으로 상대를 받아들인다.",압도적 원거리 공격 → 타인의 공포·이명 → 재회 정체 의심 → 공유 기억 대조 → 악령 여부 질문 → 현재 행동 기준 → 같은 사람 판정 → 다시 잃지 않겠다는 보호 약속,대표,2026년 8월 5일,준비,보호받던 신입 → 상실을 복수·전쟁 공적으로 바꾼 독립 전력 → 귀환자를 판정하고 보호를 약속하는 권한자,"보호·희생, 성장·실패, 이별·재회, 평가·판정",Yes,"귀환자 A, 옛 신입 B, 경쟁 동료 C","338~340화 166,900~167,600행","압도적 전투 권한을 보여 준 뒤 공유 기억과 행동으로 재회 상대를 판정하는 장면 (%EC%95%95%EB%8F%84%EC%A0%81%20%EC%A0%84%ED%88%AC%20%EA%B6%8C%ED%95%9C%EC%9D%84%20%EB%B3%B4%EC%97%AC%20%EC%A4%80%20%EB%92%A4%20%EA%B3%B5%EC%9C%A0%20%EA%B8%B0%EC%96%B5%EA%B3%BC%20%ED%96%89%EB%8F%99%EC%9C%BC%EB%A1%9C%20%EC%9E%AC%ED%9A%8C%20%EC%83%81%EB%8C%80%EB%A5%BC%20%ED%8C%90%EC%A0%95%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81118dabd216dd4a3154.csv), 보호 약속 직후 경쟁 동료 살해 제안에 즉시 금지 경계를 세우는 장면 (%EB%B3%B4%ED%98%B8%20%EC%95%BD%EC%86%8D%20%EC%A7%81%ED%9B%84%20%EA%B2%BD%EC%9F%81%20%EB%8F%99%EB%A3%8C%20%EC%82%B4%ED%95%B4%20%EC%A0%9C%EC%95%88%EC%97%90%20%EC%A6%89%EC%8B%9C%20%EA%B8%88%EC%A7%80%20%EA%B2%BD%EA%B3%84%EB%A5%BC%20%EC%84%B8%EC%9A%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81e980c4c71876a28321.csv)",보호자의 사망 소식을 믿고 복수와 전쟁으로 성장한 인물이 장기 부재 뒤 재회함,정체 판정과 보호 약속 직후 경쟁자 제거 제안이 붙어 힘의 목적이 여전히 재상실 방지에 고정됐음을 드러냄,Yes,전투 권한 → 과거 기억 → 정체 질문 → 행동 판정 → 보호 약속 → 경쟁자 위험화,재회 인물의 설명보다 압도적 공격과 타인의 공포로 새 권한을 먼저 체감시킴,높음,,,보호 약속은 편지·장비·외출 차단으로 구체화돼 관계 통제로 변질됨
살려 달라는 신입을 위로보다 역할 질문·첫 실행·배분으로 한 사람 몫의 동료로 바꾸는 장면,REF-46,신입은 생존 부탁에서 시작하지만 역할을 증명하고 가족에게 가져갈 몫을 확인하면서 보호 대상 이상의 위치를 얻는다.,무릎·생존 요청 → 치료 자원만 제공 → 추격 정보 질문 → 감지·사격 역할 확인 → 살해 경험 부재 → 임시 계약·배분 → 첫 살해 → 짧은 판단 인정 → 자원 제한 전투 자청 → 솜씨 인정 → 회수 자원·가족 목적 확인,대표,2026년 8월 5일,준비,구조를 구하는 부상자 → 임시 역할을 가진 신입 → 전투 판단을 인정받은 수익 참여자,"관계 형성, 위기·생존, 평가·판정, 협상·거래",Yes,"보호자 A, 신입 B, 추격자와 몬스터","8~11화 3,379~4,607행","부상한 신입이 부양할 가족을 이유로 생존을 요청하고 치료 자원만 먼저 받는 장면 (%EB%B6%80%EC%83%81%ED%95%9C%20%EC%8B%A0%EC%9E%85%EC%9D%B4%20%EB%B6%80%EC%96%91%ED%95%A0%20%EA%B0%80%EC%A1%B1%EC%9D%84%20%EC%9D%B4%EC%9C%A0%EB%A1%9C%20%EC%83%9D%EC%A1%B4%EC%9D%84%20%EC%9A%94%EC%B2%AD%ED%95%98%EA%B3%A0%20%EC%B9%98%EB%A3%8C%20%EC%9E%90%EC%9B%90%EB%A7%8C%20%EB%A8%BC%EC%A0%80%20%EB%B0%9B%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8188800fce4893df63c5.csv), 감지·사격 역할과 임시 배분 계약을 질문 순서로 정하는 장면 (%EA%B0%90%EC%A7%80%C2%B7%EC%82%AC%EA%B2%A9%20%EC%97%AD%ED%95%A0%EA%B3%BC%20%EC%9E%84%EC%8B%9C%20%EB%B0%B0%EB%B6%84%20%EA%B3%84%EC%95%BD%EC%9D%84%20%EC%A7%88%EB%AC%B8%20%EC%88%9C%EC%84%9C%EB%A1%9C%20%EC%A0%95%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8187bd61fc891f141353.csv), 첫 살해 직후 망설이지 않은 판단을 짧게 인정하고 치료로 전환하는 장면 (%EC%B2%AB%20%EC%82%B4%ED%95%B4%20%EC%A7%81%ED%9B%84%20%EB%A7%9D%EC%84%A4%EC%9D%B4%EC%A7%80%20%EC%95%8A%EC%9D%80%20%ED%8C%90%EB%8B%A8%EC%9D%84%20%EC%A7%A7%EA%B2%8C%20%EC%9D%B8%EC%A0%95%ED%95%98%EA%B3%A0%20%EC%B9%98%EB%A3%8C%EB%A1%9C%20%EC%A0%84%ED%99%98%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81c2befadc59f4e3d784.csv), 자원 제한 아래 자기 몫을 증명하고 가족을 위한 수익 가능성을 확인하는 장면 (%EC%9E%90%EC%9B%90%20%EC%A0%9C%ED%95%9C%20%EC%95%84%EB%9E%98%20%EC%9E%90%EA%B8%B0%20%EB%AA%AB%EC%9D%84%20%EC%A6%9D%EB%AA%85%ED%95%98%EA%B3%A0%20%EA%B0%80%EC%A1%B1%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EC%88%98%EC%9D%B5%20%EA%B0%80%EB%8A%A5%EC%84%B1%EC%9D%84%20%ED%99%95%EC%9D%B8%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81d7bca4cddceab963d1.csv)",부상한 초보가 가족 부양 욕망은 있지만 살해 경험과 독립 전투 경험이 없음,보호자의 감정적 수용이 아니라 전투 성과·자원 회수·배분 몫으로 역할을 확정함,Yes,부양 욕망 → 능력·경험 → 계약 → 첫 실행 → 성과 → 수익 목적,추격당한 신입이 무릎 꿇고 살려 달라고 요청하는 장면에서 시작함,중간,,,장기 부재 뒤 신입은 압도적 전투 권한을 얻지만 그 힘이 관계 성숙을 자동으로 보장하지 않음
상실 강박의 보호가 경쟁자 제거·편지 훼손·장비 은닉·외출 차단으로 바뀌는 장면,REF-46,"강한 보호자는 상대를 다시 잃을 공포를 줄이기 위해 상대의 선택지를 줄이며, 보호받는 사람은 안전과 감금의 경계를 체감한다.",다시는 잃지 않겠다는 약속 → 경쟁자 살해 제안 → 살해 금지 경계 → 편지 훼손 → 보관함 파괴 → 장비 은닉 → 창문 봉쇄 → 외출 불필요 선언 → 보호 대상의 관리 대상화,대표,2026년 8월 5일,준비,재회한 보호 관계 → 경쟁자 제거 욕망 → 연락권·장비권·외부 활동권을 박탈한 통제 관계,"관계 갈등, 권한·위계, 보호·희생, 정보·비밀",Yes,"귀환자 A, 강한 보호자 B, 경쟁 동료 C, 은거 공간","340~341화 167,560~168,140행","보호 약속 직후 경쟁 동료 살해 제안에 즉시 금지 경계를 세우는 장면 (%EB%B3%B4%ED%98%B8%20%EC%95%BD%EC%86%8D%20%EC%A7%81%ED%9B%84%20%EA%B2%BD%EC%9F%81%20%EB%8F%99%EB%A3%8C%20%EC%82%B4%ED%95%B4%20%EC%A0%9C%EC%95%88%EC%97%90%20%EC%A6%89%EC%8B%9C%20%EA%B8%88%EC%A7%80%20%EA%B2%BD%EA%B3%84%EB%A5%BC%20%EC%84%B8%EC%9A%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81e980c4c71876a28321.csv), 편지·장비·창문을 차단해 보호를 외부 활동권 박탈로 바꾸는 장면 (%ED%8E%B8%EC%A7%80%C2%B7%EC%9E%A5%EB%B9%84%C2%B7%EC%B0%BD%EB%AC%B8%EC%9D%84%20%EC%B0%A8%EB%8B%A8%ED%95%B4%20%EB%B3%B4%ED%98%B8%EB%A5%BC%20%EC%99%B8%EB%B6%80%20%ED%99%9C%EB%8F%99%EA%B6%8C%20%EB%B0%95%ED%83%88%EB%A1%9C%20%EB%B0%94%EA%BE%B8%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae813d99ced2e8b0d88d46.csv)",상실 공포를 실행할 충분한 전투·주거·정보 통제 권한이 보호자에게 있음,추상적 집착 설명 대신 훼손된 편지·사라진 장비·막힌 창문과 외출 금지로 권리 침해를 물질화함,Yes,보호 선언 → 경쟁자 위험화 → 금지 경계 → 통신 차단 → 장비 차단 → 공간 차단,재회 상대를 다시는 잃지 않겠다는 다정한 보호 약속에서 시작함,높음,,,"대면 뒤 힘을 버리겠다는 전면 순종도 거절되고, 일부 권리만 복구된 채 환경 통제는 잔여함"
