장면명,REF 코드,TH 색인,관찰 좌표,등록 시각,마지막 검토,연결 장면,원문 위치,원문 확보,인물,작품명,장면 ID,장면 역할,장면 조건,집필 지시문 없음,집필용 준비,표면 모방 위험,화수
559화 · 승리와 전사자 보고 뒤 임무 성공 논리가 사람의 손실과 충돌하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae813b9438cd9f8e8120aa,1등급 마물 처치라는 위업은 공식 보고되지만 정수 미획득과 전사자 수가 이어진다. 성공 보고가 손실을 지우지 못한다.,2026년 8월 5일 오전 7:44,2026년 8월 5일,557화 책임 선언 / 559화 전문가의 오판 인정,"273,037~273,133행",Yes,"비요른 얀델, 제롬 세인트레드, 에보스트, 왕실 탐사군",게임 속 바바리안으로 살아남기,SCENE-56,"대비, 실패",목표 처치에는 성공했지만 다수 사망과 핵심 보상 미획득이 발생함,Yes,대비 포함 준비,높음,559화
620~621화 · 탐사·연구·자원 생산을 병행하고 맞춤형 정수를 동료·대원·왕실 몫으로 배분하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae813b9438cd9f8e8120aa,탐사와 연구를 병행하며 생산된 정수의 우선순위를 동료·현장 대원·왕실 몫으로 나눈다. 발견 성과가 개인 독점이 아니라 재생산 가능한 배분 체계로 바뀐다.,2026년 8월 5일 오전 7:44,2026년 8월 5일,620화 동료 수색·권한 분담 / 618화 지도 공용화,"299,307~299,655행",Yes,"비요른 얀델, 레이븐, 아멜리아 레인웨일즈, 왕실 탐사군",게임 속 바바리안으로 살아남기,SCENE-64,"대비, 후속",새로운 자원 생산 기술이 생겼지만 수량과 실험 비용이 제한됨,Yes,대비 포함 준비,중간,620~621화
606화 · 군대식 조 편성을 기능 책임자와 정기 보고 체계로 재편하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae813b9438cd9f8e8120aa,기존 조와 무관하게 클래스별 책임자를 세우고 연구·조사·전투 기능을 나눈다. 지휘자는 책임자를 통해 정기 보고를 받는다.,2026년 8월 5일 오전 7:44,2026년 8월 5일,397화 팀 자율·전체 집결 분리 / 618화 갱신 지도 공용화,"293,235~293,491행",Yes,"비요른 얀델, 가휜 베실러스, 레이븐, 탐사군 책임자들",게임 속 바바리안으로 살아남기,SCENE-61,"핵심, 후속",수백 명의 기존 군대식 조 편성으로 연구·조사·전투를 동시에 관리하기 어려움,Yes,대비 포함 준비,중간,606화
560화 · 공략 뒤 갱신된 지도 위에서 다음 목표의 자문권이 확대되는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae813b9438cd9f8e8120aa,공략 후 회의에서 가장 오래 머물렀고 지도를 제공한 사람이 다음 경로를 제안한다. 개인 경험은 지도와 손실 평가를 통해 집단의 자문권으로 바뀐다.,2026년 8월 5일 오전 7:44,2026년 8월 5일,559화 전문가의 오판 인정 / 606화 기능 책임자·보고 체계,"273,431~273,509행",Yes,"비요른 얀델, 제롬 세인트레드, 각 조장과 지휘관",게임 속 바바리안으로 살아남기,SCENE-58,"핵심, 후속",한 공략이 끝났고 전력 손실을 반영해 다음 목적지를 정해야 함,Yes,대비 포함 준비,중간,560화
620화 · 맞춤형 정수 연구보다 동료 수색을 우선하고 구조 뒤 조사 권한을 분담하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae813b9438cd9f8e8120aa,희귀 연구 성과에 탐사군이 몰입하지만 주인공은 레일 수색을 재개해 동료들을 찾는다. 구조 직후 조사단장에게 현장 조사 권한을 남긴다.,2026년 8월 5일 오전 7:44,2026년 8월 5일,618화 갱신 지도 배포 / 620~621화 탐사·연구·자원 배분,"298,977~299,235행",Yes,"비요른 얀델, 레이븐, 아멜리아 레인웨일즈, 조사단장, 구조된 동료들",게임 속 바바리안으로 살아남기,SCENE-63,"대비, 핵심",맞춤형 정수라는 대형 연구 성과와 실종 동료 수색이 경쟁함,Yes,대비 포함 준비,높음,620화
604화 · 선행 지식의 누락과 인원 손실을 인정하고 공략 실패를 선언하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae813b9438cd9f8e8120aa,정석 공략과 다른 결과가 나오자 누락된 정보와 손실을 확인하고 성공으로 포장하지 않는다. 지휘자는 실패를 직접 선언한다.,2026년 8월 5일 오전 7:44,2026년 8월 5일,557화 목표·책임 선언 / 604~605화 군단 지휘권 인수,"292,369~292,503행",Yes,"비요른 얀델, 왕실 탐사군, 대주교",게임 속 바바리안으로 살아남기,SCENE-59,"실패, 핵심",선행 공략 정보가 현실에서 누락됐고 핵심 인물과 병력을 잃음,Yes,대비 포함 준비,높음,604화
604~605화 · 지휘 공백에서 조사 권한을 먼저 행사하고 공개 선출로 군단 지휘권을 인수하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae813b9438cd9f8e8120aa,사령관 부재와 부사령관의 거부 속에서 주인공은 현장 조사와 책임 정리를 먼저 수행한 뒤 구성원들의 공개 동의로 군단 지휘권을 인수한다.,2026년 8월 5일 오전 7:44,2026년 8월 5일,604화 공략 실패 / 606화 기능 책임자·보고 체계 재편,"292,649~293,109행",Yes,"비요른 얀델, 가휜 베실러스, 왕실 탐사군 지휘관들",게임 속 바바리안으로 살아남기,SCENE-60,"핵심, 후속",사령관이 사라지고 합법적 승계자도 수백 명 책임을 거부함,Yes,대비 포함 준비,높음,604~605화
309화 · 몸의 이름과 진입 시기를 묻는 질문에 묵비하고 정보 역유출 위험 때문에 진실게임을 조기 종료하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,"아우릴 가비스가 과거 위장 이름을 조사해 실명과 진입 시기를 좁힌다. 비요른은 질문에 답하지 않고, 자신의 다음 질문도 현재 위치를 노출할 수 있음을 깨달아 게임을 끝낸다.",2026년 8월 5일 오전 8:09,2026년 8월 5일,308화 질문 설계 / 309화 정보 제출형 원탁 규칙,"152,811~152,973행",Yes,"비요른 얀델, 아우릴 가비스",게임 속 바바리안으로 살아남기,SCENE-70,"이탈, 핵심",상대가 위장 이름의 모순을 조사했고 질문을 주고받을수록 실명·진입 시기·현재 위치가 좁혀짐,Yes,대비 포함 준비,높음,309화
308화 · 질문 교환비를 협상하고 예·아니오 질문으로 사실만 고정한 뒤 심리 기반 판정의 빈틈을 읽는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,비요른은 불확실성을 부담하는 대가로 질문 세 번 대 한 번의 교환비를 얻는다. 예·아니오 질문으로 팩트를 고정하지만 보석이 문장 진실보다 화자의 심리와 생략을 판정한다는 빈틈을 확인한다.,2026년 8월 5일 오전 8:09,2026년 8월 5일,307화 장치 신뢰 협상 / 309화 묵비와 게임 종료,"152,293~152,513행",Yes,"비요른 얀델, 아우릴 가비스, 진실 보석",게임 속 바바리안으로 살아남기,SCENE-69,"대비, 핵심",진실 장치가 있지만 제작자 조작 가능성과 질문별 정보량 차이가 남아 있음,Yes,대비 포함 준비,높음,308화
92~93화 · 익명 정보 시장에서 고가 정보를 팔되 현실 접점과 과도한 거래 흔적을 피하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,"고스트 포인트 시장에서 공략 정보를 판매해 자원을 얻는다. 그러나 현실 물품 거래와 대량 판매는 바바리안 신분과 연결될 위험 때문에 제한하며, 사기 억제는 영구 추방 규칙이 보증한다.",2026년 8월 5일 오전 8:09,2026년 8월 5일,91~92화 닉네임 은폐 / 309화 정보 제출형 원탁 규칙,"44,691~44,857행",Yes,"비요른 얀델, 고스트 버스터즈 거래소, 정보 구매자들",게임 속 바바리안으로 살아남기,SCENE-67,"대비, 핵심",익명 지식은 수익화할 수 있지만 현실 물품과 거래량이 현지 신분을 추적할 단서가 됨,Yes,대비 포함 준비,중간,92~93화
90~91화 · 심상 공간·말투·현대 물건과 비공개 판정으로 플레이어를 인증하고 변경 불가 닉네임을 발급하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,소울퀸즈는 옷·말투·심상 공간과 공개하지 않는 추가 기준으로 현지인 침입 여부를 판정한다. 통과 뒤 코드 입력과 변경 불가 닉네임 발급으로 익명 신분을 고정한다.,2026년 8월 5일 오전 8:09,2026년 8월 5일,91~92화 닉네임 공개로 과거 정체가 노출될 뻔한 장면 / 92~93화 정보 시장,"44,071~44,241행",Yes,"비요른 얀델, 소울퀸즈, 고스트 버스터즈",게임 속 바바리안으로 살아남기,SCENE-65,"선행, 핵심",현지인이 플레이어 공동체에 침입할 수 있어 신규 참가자의 출신을 검증해야 함,Yes,대비 포함 준비,높음,90~91화
307화 · 진실 보석을 제시해도 제작자의 조작 가능성과 검증자 필요를 협상하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,아우릴 가비스가 진실과 거짓을 색으로 판정하는 보석을 제시하지만 비요른은 제작자가 결과를 조작할 가능성을 제기한다. 장치 외에 제3자의 이의 제기 능력이 추가된다.,2026년 8월 5일 오전 8:09,2026년 8월 5일,308화 질문 교환비·예아니오 설계 / 309화 원탁 규칙,"152,119~152,251행",Yes,"비요른 얀델, 아우릴 가비스, 진실 보석",게임 속 바바리안으로 살아남기,SCENE-68,"대비, 선행",서로를 신뢰하지 않는 두 사람이 진실 판정 장치를 사이에 두고 정보를 교환하려 함,Yes,대비 포함 준비,높음,307화
385~386화 · 행정 숫자와 동선으로 옛 신분을 맞히지만 실종 원인은 잘못 해석하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,"테르세리온 후작은 위장 신분 자료의 손상, 성장 속도, 실종 기간과 재등장 동선을 숫자로 연결해 비요른 얀델임을 맞힌다. 그러나 시간 이동 대신 노아르크 체류라고 원인을 오해한다.",2026년 8월 5일 오전 8:09,2026년 8월 5일,386화 옛 신분의 선택적 인정 / 647화 습관·시기 누적 판정,"188,321~188,465행",Yes,"비요른 얀델, 테르세리온 후작, 리헨 슈이츠 신분, 노아르크",게임 속 바바리안으로 살아남기,SCENE-72,"대비, 핵심",장기 실종 뒤 위장 신분으로 돌아온 인물의 성장 수치와 이동 기록이 기존 사망 기록과 충돌함,Yes,대비 포함 준비,높음,385~386화
309화 · 개인 질의응답을 중단하고 진실·비공유 정보 조건의 원탁 규칙으로 정보 채널을 재설계하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,질문권을 주고받는 방식 대신 반드시 진실이며 참가자 절반 이상이 모르는 정보를 제출하는 규칙을 제안한다. 제작자는 권한을 보석에 넣고 여러 참가자의 이의 제기 구조를 만든다.,2026년 8월 5일 오전 8:09,2026년 8월 5일,309화 진실게임 조기 종료 / 310~311화 원탁 정보 제출,"152,985~153,169행",Yes,"비요른 얀델, 아우릴 가비스, 카구레아스와 원탁 참가자들",게임 속 바바리안으로 살아남기,SCENE-71,"핵심, 후속",양자 질의응답은 질문 자체가 정체 정보를 빼내고 상대 한 명의 해석에 의존함,Yes,대비 포함 준비,중간,309화
91~92화 · 공개 닉네임이 과거 게시자 정체를 노출하려 하자 철자 한 글자로 사칭 팬 역할을 만드는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,인지 명령으로 닉네임을 공개하자 유명 게시자와 동일하다는 반응이 쏟아진다. 비요른은 철자 한 글자 차이를 근거로 팬·사칭자 역할을 즉시 만들고 실제 정체를 감춘다.,2026년 8월 5일 오전 8:09,2026년 8월 5일,90~91화 익명 공동체 인증 / 735화 과거 닉네임을 적에게 공개하는 장면,"44,317~44,447행",Yes,"비요른 얀델, 다크맨, 고스트 버스터즈 참가자들",게임 속 바바리안으로 살아남기,SCENE-66,"대비, 오해",익명 공동체의 닉네임이 과거 현실 게시판의 유명 작성자 신분과 겹침,Yes,대비 포함 준비,높음,91~92화
737화 · 가면 말투의 기원과 목표 부재를 확인한 뒤 임시 합류를 제안하고 즉시 배신하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,적의 가면 말투가 수사자 등장 이후 현실 행동까지 잠식했음을 확인한다. 적은 목표가 없고 멋지게 죽고 싶다고 말하며 합류 제안을 받아들이지만 비요른은 희망을 준 직후 죽인다.,2026년 8월 5일 오전 8:10,2026년 8월 5일,736~737화 본명·출신 교환 / 적대적 정체 공개의 반례,"346,943~347,065행",Yes,"비요른 얀델, 하야시 겐스케, 광대",게임 속 바바리안으로 살아남기,SCENE-80,"실패, 이탈",적대자의 현실 정체와 가면 기원은 밝혀졌지만 목표·폭력 기준·신뢰는 정렬되지 않음,Yes,대비 포함 준비,높음,737화
736화 · 적대자가 과거 정보와 반응을 역산해 서로 분리했던 두 가면을 하나로 합치는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,"아벳 네크라페토는 원탁 정보, 종교 정보 선점, 과거 살기와 대면 기록을 다시 연결해 수사자 가면과 비요른 얀델이 같은 인물임을 납득한다.",2026년 8월 5일 오전 8:10,2026년 8월 5일,735화 다중 가면 연쇄 공개 / 736~737화 마지막 본명 교환,"346,249~346,371행",Yes,"아벳 네크라페토, 비요른 얀델, 수사자 가면, 여왕, 광대",게임 속 바바리안으로 살아남기,SCENE-78,"대비, 후속",적대자가 서로 다른 정보망에서 보아 온 두 신분이 같은 인물이라는 충격적 공개를 받음,Yes,대비 포함 준비,높음,736화
647화 · 선택적 공개 뒤 사적 만남 대신 지연형 쌍방 종이로 별도 연락권을 만드는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,둘은 공개적으로 만나는 위험을 피하기 위해 한쪽에 쓴 글이 다른 쪽에도 나타나는 종이를 나눈다. 긴 대화가 아니라 만남 시간·장소와 경고만 전달하는 제한 통신망이 생긴다.,2026년 8월 5일 오전 8:10,2026년 8월 5일,647화 선택적 공개 / 후반 별도 협력 채널,"309,883~309,943행",Yes,"비요른 얀델, 강현별, 쌍방 통신 종이",게임 속 바바리안으로 살아남기,SCENE-76,"핵심, 후속",사적 정체를 공유했지만 공개 접촉은 양쪽 신분망에 위험을 줌,Yes,대비 포함 준비,중간,647화
386화 · 더 강한 검증과 주변인 조사 전에 옛 신분만 인정하고 정치 협상으로 전환하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,비요른은 검증 물건이 통하지 않을 경우 동료들이 조사받을 것을 계산해 옛 신분을 인정한다. 그러나 실종 원인과 악령 공표의 진상은 필요한 만큼만 말하며 협상권을 확보한다.,2026년 8월 5일 오전 8:10,2026년 8월 5일,385~386화 숫자 기반 추론 / 647화 필요한 층만 공개하는 장면,"188,475~188,619행",Yes,"비요른 얀델, 테르세리온 후작, 에르웬, 아멜리아, 레이븐",게임 속 바바리안으로 살아남기,SCENE-73,"핵심, 후속",상대가 동일 인물임을 거의 확신했고 다음 단계로 강제 검증과 주변인 조사가 예상됨,Yes,대비 포함 준비,높음,386화
735화 · 전투 집중을 깨기 위해 현지 신분·플레이어·과거 닉네임·원탁 가면을 연쇄 공개하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,"비요른은 적의 집중을 흔들기 위해 악령, 한국 출신, 과거 게시자 닉네임, 적의 원탁 이름, 자신의 수사자 가면 정체를 차례로 공개한다. 공개는 고백보다 공격 수단이다.",2026년 8월 5일 오전 8:10,2026년 8월 5일,91~92화 과거 닉네임 은폐 / 736화 적대자의 역산,"346,163~346,245행",Yes,"비요른 얀델, 아벳 네크라페토, 엘프누나, 광대, 수사자 가면",게임 속 바바리안으로 살아남기,SCENE-77,"이탈, 핵심",상대가 전투에 완전히 집중해 일반 공격으로 빈틈을 만들기 어려움,Yes,대비 포함 준비,높음,735화
646~647화 · 가면에 대한 순간 반응과 진입 시기·성장·과거 취향을 합쳐 정체를 판정하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,"강현별은 진입 시기, 성장 속도, 과거 방패바바 취향을 모으고 흑가면에 대한 순간 반응과 놀랄 때 눈을 감는 습관으로 마지막 확신을 얻는다.",2026년 8월 5일 오전 8:10,2026년 8월 5일,385~386화 숫자로 맞히되 원인을 오해한 추론 / 647화 선택적 공개,"309,563~309,761행",Yes,"비요른 얀델, 강현별, 하린 스에뷔, 흑가면",게임 속 바바리안으로 살아남기,SCENE-74,"대비, 핵심",한 사람이 현지 신분과 과거 현실 신분을 동시에 운영하며 직접 증명할 암구호가 없음,Yes,대비 포함 준비,높음,646~647화
736~737화 · 마지막 순간 광대 역할을 벗기고 본명·출신·귀환 의사·과거 게시자 정체를 교환하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,죽음을 앞둔 적에게 가면을 벗으라고 요구하고 본명·출신·체류 연수·귀환 의사를 묻는다. 비요른도 과거 게시자 정체와 현실의 비루함을 일부 공개하지만 전면적 공감이나 용서는 일어나지 않는다.,2026년 8월 5일 오전 8:10,2026년 8월 5일,736화 두 가면 통합 / 737화 임시 합류 제안과 배신,"346,639~346,833행",Yes,"비요른 얀델, 아벳 네크라페토, 하야시 겐스케, 광대, 수사자 가면",게임 속 바바리안으로 살아남기,SCENE-79,"대비, 후속",적대자가 패배했고 죽기 전에 서로의 현실 정체와 선택 이유를 확인할 마지막 시간이 남음,Yes,대비 포함 준비,높음,736~737화
647화 · 상호 정체 침해의 선을 확인한 뒤 필요한 층만 공개하고 귀환 목표 불일치는 다시 숨기는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81078483c176b5c95fa5,강현별은 먼저 선을 넘은 쪽이 비요른이라고 지적한다. 양쪽은 원탁 가면과 정보 출처를 공개하지만 비요른은 자신이 지구로 돌아갈 생각이 없다는 핵심 목표 불일치를 공개하지 않는다.,2026년 8월 5일 오전 8:10,2026년 8월 5일,646~647화 누적 증거 판정 / 647화 별도 연락망,"309,775~309,865행",Yes,"비요른 얀델, 강현별, 이백호, 원탁 가면들",게임 속 바바리안으로 살아남기,SCENE-75,"대비, 후속",서로의 현실 정체와 원탁 가면을 일부 추론했지만 귀환 의사와 동맹 목표는 일치하지 않음,Yes,대비 포함 준비,높음,647화
138~139화 · 생존 확률을 높이기 위해 유용한 수호자 정수를 제물로 바꾸고 새 코어를 선택하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,성공률 10% 미만의 위기에서 비요른은 아껴 두고 싶은 교체 아이템을 사용한다. 쓸모없는 정수가 아니라 현재도 유용한 수호자 정수를 희생해 더 높은 선택지를 열고 오우거 정수를 고른다.,2026년 8월 5일 오전 8:51,2026년 8월 5일,41~42화 슬롯 훼손 손해 / 139화 재생 상실 확인,"66,821~67,047행",Yes,"비요른 얀델, 리갈 바고스, 카루이 대사제, 동료들, 균형의 수호자",게임 속 바바리안으로 살아남기,SCENE-84,"대비, 핵심",생존 확률이 10% 미만이고 현재 유용한 코어를 희생해야만 상위 선택지를 얻을 수 있음,Yes,대비 포함 준비,높음,138~139화
[DEPRECATED 중복] 3화 · 대검 취향을 버리고 생존 효율과 최종 역할을 기준으로 방패를 고르는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,비요른은 대검 취향과 반복 실패 경험을 먼저 놓고 ‘꼭 딜러여야 하는가’를 묻는다. 탱커 실험 성공을 근거로 현실의 시작 무기에서도 방패를 택하고 세 가지 이유로 선택을 닫는다.,2026년 8월 5일 오전 8:51,2026년 8월 5일,47화 보호 장비 선택 / 222화 보호 역할 자기 규정,651~715행,Yes,"비요른 얀델, 야만인 성인식 참가자들",게임 속 바바리안으로 살아남기,SCENE-81,"선행, 핵심",공격 취향과 생존 효율이 충돌하고 시작 무기 선택이 이후 역할을 고정함,Yes,대비 포함 준비,중간,3화
[DEPRECATED 중복] 41~42화 · 비동의 정수 흡수를 희귀 보상이 아니라 슬롯 훼손과 삭제 비용으로 정산하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,레이븐은 희귀 정수를 살려 준 보상으로 보지만 비요른은 동의 없는 슬롯 점유와 삭제 비용으로 손해를 계산한다. 제3의 탐험가에게 묻자 희귀성보다 계획 훼손이 우선이라는 판정이 돌아온다.,2026년 8월 5일 오전 8:51,2026년 8월 5일,139화 코어 정수 교체 / 859화 새 정수 손익 재판정,"19,665~19,775행",Yes,"비요른 얀델, 아루아 레이븐, 파츠란, 알테미온 학파",게임 속 바바리안으로 살아남기,SCENE-82,"대비, 핵심",타인이 생존을 위해 당사자 동의 없이 예정에 없던 희귀 정수를 흡수시킴,Yes,대비 포함 준비,높음,41~42화
77화 · 거대화 정수에 맞춰 속옷·수복·형상·내성까지 장비를 다시 설계하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,거대화가 장비를 찢고 산성 피가 장비를 훼손하는 문제를 일상 대화로 드러낸다. 비요른은 맞춤 장비에 자동 수복·형상 변환·산성 면역을 묶어 능력 변화의 비용을 선지불한다.,2026년 8월 5일 오전 8:51,2026년 8월 5일,3화 방패 역할 선택 / 139화 정수 교체 뒤 장비·전술 재계산,"37,331~37,397행",Yes,"비요른 얀델, 미샤 칼스타인",게임 속 바바리안으로 살아남기,SCENE-83,"대비, 후속",거대화와 산성 피 때문에 기존 의복·장비를 그대로 사용할 수 없음,Yes,대비 포함 준비,중간,77화
[DEPRECATED 중복] 140화 · 재생 상실 뒤 포션 담당·후열 보호·근접 딜러 위치를 다시 짜 새 전투 역할을 검증하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,"새 정수로 공격력이 올랐지만 자연 회복이 사라진다. 비요른은 통로를 몸으로 막고 로트밀러의 포션, 히쿠로드의 후열 보호, 미샤의 짧은 진입을 묶어 새 의존 구조를 실제 장기전에서 검증한다.",2026년 8월 5일 오전 8:51,2026년 8월 5일,139화 재생 상실 확인 / 222화 치유 자원 배분,"67,619~67,823행",Yes,"비요른 얀델, 리갈 바고스, 리올 워브 드왈키, 히쿠로드 무라드, 로트밀러, 미샤 칼스타인",게임 속 바바리안으로 살아남기,SCENE-86,"핵심, 후속",기존 자연 재생을 잃은 상태에서 빠른 상위 탐험가를 상대로 장기전을 버텨야 함,Yes,대비 포함 준비,높음,140화
139화 · 새 정수 능력 목록 직후 손등을 그어 사라진 재생을 확인하고 조합과 전투 방식을 다시 계산하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,능력치 상승과 재생 하락 문구가 끝나자 비요른은 손등을 그어 실제로 낫지 않는 상처를 확인한다. 이후 최종 조합을 고정 목록이 아닌 후보군으로 재정의하고 생존율·갑옷·전투 방식을 다시 계산한다.,2026년 8월 5일 오전 8:51,2026년 8월 5일,138~139화 코어 정수 희생 / 140화 포션·진형 의존 검증,"67,049~67,167행",Yes,"비요른 얀델, 잠든 동료들, 균형의 수호자",게임 속 바바리안으로 살아남기,SCENE-85,"핵심, 후속",상위 정수를 얻었지만 기존 자연 재생과 인지력이 사라져 실제 역할 변화량을 확인해야 함,Yes,대비 포함 준비,높음,139화
859화 · 새 정수의 극단적 결손 재생을 몸으로 확인한 뒤 기존 손해 판정을 즉시 뒤집는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,새 정수 때문에 항마력과 영혼력이 떨어졌다고 손해를 계산하던 비요른은 눈이 꿰뚫린 직후 결손이 즉시 회복되는 것을 경험한다. 설명문보다 몸의 회복 속도가 먼저 기존 판단을 뒤집는다.,2026년 8월 5일 오전 8:52,2026년 8월 5일,139화 재생 상실 확인 / 859화 새 조합 장부화 / 909화 단독 유지력 검증,"396,748~396,926행",Yes,"비요른 얀델, 외부 신격 존재, 새로운 정수",게임 속 바바리안으로 살아남기,SCENE-88,"핵심, 후속",새 정수의 수치 손해가 명확하지만 고유 능력의 실전 효과는 아직 확인되지 않음,Yes,대비 포함 준비,높음,859화
909~910화 · 극재생으로 보스의 공격을 단독 감당하고 누적 피해를 숨은 반격 단계로 전환하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,"비요른은 본대의 각 역할을 믿고 자신은 보스의 공격을 우선 유도한다. 머리 결손도 즉시 회복하며 누적 피해를 아이템의 숨은 단계로 바꾸고, 적의 공격을 복제한 반격으로 전투 불능까지 밀어붙인다.",2026년 8월 5일 오전 8:52,2026년 8월 5일,859화 극재생 개편 / 910~911화 사용 효과 봉인 카운터,"417,181~418,127행",Yes,"비요른 얀델, 원정대 본대, 보스 몬스터, 장비 효과",게임 속 바바리안으로 살아남기,SCENE-90,"핵심, 후속",본대가 각자 역할을 수행하는 동안 한 명이 보스의 공격과 어그로를 장시간 받아내야 함,Yes,대비 포함 준비,높음,909~910화
222화 · 자기 생존을 높일 치유를 요구하지 않고 생명력을 방어 자원으로 태워 더 많은 사람을 살리는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,비요른은 신관의 치유를 자신에게 돌리면 더 안전해질 수 있음을 알지만 요구하지 않는다. 생명력이 줄수록 방어력이 오르는 패시브와 방패 역할을 연결해 자신의 고통을 구조 가능성으로 환산한다.,2026년 8월 5일 오전 8:52,2026년 8월 5일,3화 방패 역할 선택 / 140화 지원 의존 구조 / 859화 극재생 개편,"109,141~109,239행",Yes,"비요른 얀델, 미샤 칼스타인, 아멜리아 레인웨일즈, 에르웬 포르나치 디 테르시아, 성기사, 신관, 원정대 전사들",게임 속 바바리안으로 살아남기,SCENE-87,"대비, 핵심",다수의 낯선 전사와 핵심 동료를 동시에 살려야 하고 치유 자원이 한정됨,Yes,대비 포함 준비,높음,222화
910~911화 · 사용 효과 봉인 필드에서 새 빌드의 카운터를 인정하고 혼자 유지할 수 없다고 보고하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,새 보스의 필드가 사용 효과를 봉인하자 비요른은 변이 저지에 실패하고 자신의 대응 가능 범위를 현장 질문으로 확인한다. 결국 혼자 유지할 수 없다고 보고하고 퇴각 제안을 받아들인다.,2026년 8월 5일 오전 8:52,2026년 8월 5일,909~910화 압도적 유지력 / 917화 다른 필드에서의 재발견,"418,208~418,460행",Yes,"비요른 얀델, 아멜리아 레인웨일즈, 마법사·신관·원정대 지휘부, 보스 몬스터",게임 속 바바리안으로 살아남기,SCENE-91,"대비, 실패",극재생 빌드가 강하지만 사용 효과와 재생을 제한하는 필드·기믹이 등장함,Yes,대비 포함 준비,높음,910~911화
917화 · 생명력 소모 필드와 극재생의 연쇄를 발견해 동료 투입을 막고 혼자 보스를 붙잡는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae8196bd5ddb80a846a106,"생명력을 태워야 움직일 수 있는 필드에서 비요른은 정신 내성, 결손 재생, 몬스터 적용 규칙의 연쇄를 발견한다. 동료의 진입을 막고 혼자 신체 결손을 반복하며 보스를 붙잡아 레이드 해법으로 바꾼다.",2026년 8월 5일 오전 8:52,2026년 8월 5일,910~911화 사용 효과 봉인 카운터 / 859화 극재생 장부화,"421,041~421,305행",Yes,"비요른 얀델, 원정대 동료들, 생명력 소모 필드, 보스 몬스터",게임 속 바바리안으로 살아남기,SCENE-92,"대비, 후속",필드가 모든 존재의 생명력을 소모시키며 일반 파티원에게는 치명적이지만 극재생과 정신 내성의 조합이 있음,Yes,대비 포함 준비,높음,917화
