장면명,REF 코드,관찰 좌표,내부 위치,마지막 검토,상태,식별자 비노출,역할 표기,연결 장면,원문 확보,장면 역할,장면 조건,표면 모방 위험
법적 고용 주체를 만들고 성별·세대별 비전투 경로를 여는 장면,REF-46,사업자 승인과 직원 등록으로 전사 집단을 노동 조직으로 바꾼다. 성인과 아이에게 현재 능력에 맞는 서로 다른 교육·고용 경로를 제시한다.,"651화 311,281~311,359행",2026년 8월 5일,준비,Yes,"대표, 실무자 A, 내부 성인 구성원들, 아이들",외부 전문가의 교육·감독 구조 / 비전투 노동의 인정 체계,Yes,후속,대규모 인력을 합법적으로 일하게 할 고용 주체와 전투 외 역할이 없는 성인·아이의 경로가 필요함,중간
비전투 노동을 기존 인정 체계에 연결하고 장점과 결함을 함께 평가하는 장면,REF-46,새 가치관을 설교하지 않고 보상·공개 칭찬·경연으로 기존 인정 욕구를 다른 노동에 연결한다. 열의 뒤에는 능력 한계를 항목별로 공개한다.,"650화 311,053~311,155행",2026년 8월 5일,준비,Yes,"대표, 실무자 A, 내부 구성원들",외부 전문가가 교육·감독 구조를 만드는 장면,Yes,"대비, 핵심",전투만 가치 있다고 믿던 구성원이 비전투 노동을 지속해야 하고 실제 사업 투입 수준도 평가받아야 함,중간
외부 전문가를 단기 대행자가 아니라 교육·감독자와 결정권자로 쓰는 장면,REF-46,단순 노동과 전문 노동을 나눈 직후 교육 부족을 한계로 확인한다. 전문가 한 명이 열 명을 감독하는 구조와 중요한 준비의 완전 위임이 이어진다.,"651화 311,157~311,259행",2026년 8월 5일,준비,Yes,"대표, 외부 전문가들, 내부 작업자들",비전투 노동의 장점·결함 평가 / 회사 등록과 세대별 고용 경로,Yes,"핵심, 후속",내부 작업자는 힘과 속도는 있지만 전문 기술이 없고 외부 전문가는 단기 성과와 장기 전승을 함께 설계해야 함,중간
실직한 전문가를 실제 필요로 고용하고 현장에서 부서 권한을 나누는 장면,REF-46,구제나 호의가 아니라 실제 필요 직무와 급여를 제시한다. 현장 오해를 푼 뒤 전문가들이 통계·재정·도시 계획으로 업무와 장래 지위를 나눈다.,"453~454화 223,899~224,329행",2026년 8월 5일,준비,Yes,"대표, 전문가 A, 전문가 B·C·D, 내부 구성원들",내부 역할과 외부 전문 기능을 분리하는 장면 / 기술 교육과 고용 경로를 만드는 장면,Yes,"핵심, 후속",조직 내부에는 행정 능력이 없고 외부 전문가들은 실직했지만 낯선 집단에서 일할 위험과 업무 오해가 있음,중간
대표가 내부 정체성 역할과 외부 전문 기능을 분리하는 장면,REF-46,공금·문서·인력 공백을 혼자 버티지 않고 우선순위 목록으로 바꾼다. 내부 구성원에게는 교육·전투 역할만 맡기고 행정은 외부 전문가에게 넘기기로 한다.,"452화 223,350~223,490행",2026년 8월 5일,준비,Yes,"대표, 내부 동료 A, 은퇴한 관리자들",외부 행정 전문가를 고용해 부서를 만드는 장면,Yes,"핵심, 후속",새 대표가 조직의 재정·문서·인력 공백을 떠안았지만 내부 인력은 행정 문해력이 부족함,중간
정석 성장 순서가 현실의 선행 선택 연쇄로 뒤집힌 것을 역산하는 장면,REF-46,현재 차이를 오류로 끝내지 않고 더 이른 획득과 이후 전투 가능성의 연쇄를 거슬러 올라간다.,"409화 199,279~199,311행",2026년 8월 5일,준비,Yes,"주인공, 원정대",형태가 달라진 익숙한 물품 연구 이관,Yes,"대비, 핵심",정석 성장 경로의 대상을 처음 만났지만 해당 보상은 이미 다른 경로에서 얻음,중간
익숙한 물품의 형태 차이를 개량 가능성으로 남기고 전문가 연구에 넘기는 장면,REF-46,이름과 기본 효능은 알지만 현재 물품의 크기·형태가 다르자 효과 범위를 확정하지 않는다.,"447화 220,681~220,733행",2026년 8월 5일,준비,Yes,"주인공, 전문가 A, 동료들",기억에 없던 물품을 전문 감정으로 넘기는 장면,Yes,"핵심, 후속",알던 물품과 이름은 같지만 제조 주체와 형태가 달라 개량 여부가 불명확함,중간
축소된 기억 지도와 현지 증언을 대조해 시대차 가설을 세우는 장면,REF-46,기억 지도는 방향만 제공한다. 사라진 장소를 현지인의 오래된 기억과 대조해 시대차 가설을 강화하고 후속 기록 조사를 남긴다.,"17화 7,427~7,465행",2026년 8월 5일,준비,Yes,"주인공, 현지 주민 A, 동료 B",기억에 없던 건물과 기록을 발견하는 장면,Yes,핵심,기억 속 장소의 방향은 알지만 실제 규모와 현재 명칭이 다름,중간
기억에 없던 물품을 확보한 뒤 현장 판정을 멈추고 전문가에게 넘기는 장면,REF-46,발견과 이해를 분리한다. 현장 반응이 없자 기능 추정을 멈추고 전문 감정으로 넘긴다.,"171~172화 82,855~82,925행",2026년 8월 5일,준비,Yes,"주인공, 마법사 A",형태가 달라진 익숙한 물품을 연구실로 넘기는 장면,Yes,"핵심, 후속",새 물품을 발견했지만 기억과 현장 검사로 기능을 확정할 수 없음,중간
기억에서 무반응이던 대상을 재검증하되 시간 비용 때문에 방법을 바꾸는 장면,REF-46,기억상 무의미한 대상도 현실에서는 조사한다. 직접 탐색이 성과 없이 길어지자 기록 조사와 주변 수색으로 질문을 넘긴다.,"171화 82,653~82,735행",2026년 8월 5일,준비,Yes,"주인공, 마법사 A, 동료 B",주변에서 현실 전용 기록을 발견하는 장면,Yes,"대비, 실패",숨은 단서 가능성은 있지만 제한 시간이 있고 직접 조사에 진전이 없음,중간
수치상 충분한 팀이 공포·구토·시전 반동으로 무너지는 장면,REF-46,전력표에는 없던 신체·정신 반응이 역할 수행을 끊는다. 사후 진술과 육체 증거로 각자의 붕괴 원인을 확인한다.,"31화 14,391~14,485행",2026년 8월 5일,준비,Yes,"주인공, 전위 A, 마법사 A, 동료 B·C",위험 구역 진입 확신 장면 / 직접 탐색 중단 장면,Yes,"실패, 핵심",기억 속 수치와 역할 구성은 충분하지만 현실의 냄새·공포·신체 반동은 계산되지 않음,높음
생계와 죽음 비용을 함께 계산한 뒤 위험 구역에 들어가는 장면,REF-46,"기억 속 선택지는 즉시 실행되지 않는다. 도시에서 버틸 비용과 현재 신체 상태를 비교한 뒤 입장을 선택하며, 확신은 다음 회차에서 과거형으로 재개방된다.","3화 959~1,223행",2026년 8월 5일,준비,Yes,"주인공, 동료 A",수치 밖 변수로 파티 평가가 무너지는 장면,Yes,"대비, 핵심",위험 구역 진입과 도시 잔류가 모두 생존 비용을 가지며 결정 마감이 임박함,높음
예상보다 쉬운 적 배치를 낙관하지 않고 정찰과 행동 제한으로 검증하는 장면,REF-46,좋은 징후도 변수로 취급한다. 추가 정찰·회복·소음 통제를 거쳐 현재 위험을 확인한 뒤 행동한다.,"409화 199,313~199,423행",2026년 8월 5일,준비,Yes,"주인공, 동료 A, 지휘관 B, 척후조",직접 탐색을 중단하고 방법을 바꾸는 장면,Yes,대비,익숙한 작전 구도지만 실제 적 병력이 예상보다 적어 함정 가능성이 남음,중간
기억에 없던 생존 정보를 공개해 은폐 범위와 후속 연구를 시험하는 장면,REF-46,정보의 참·거짓뿐 아니라 누가 처음 듣는지와 어떤 연구·정치 행동으로 이어지는지를 함께 확인한다.,"309~310화 153,313~153,415행",2026년 8월 5일,준비,Yes,"주인공, 제작자 A, 연구자들",현실 전용 역사 기록 발견 장면,Yes,"핵심, 후속",주인공만 아는 비수록 정보를 여러 고인물과 제작자 앞에서 공개할 범위를 정해야 함,높음
포기한 대상의 주변에서 기억에 없던 건물과 기록을 발견하는 장면,REF-46,직접 대상 집착을 멈춘 뒤 주변 수색이 현실 전용 구조물과 기록을 발견한다. 새 기록은 즉시 물적 검증으로 이어진다.,"171화 82,737~82,855행",2026년 8월 5일,준비,Yes,"주인공, 마법사 A, 동료 B·C",기억에 없던 물품을 전문 감정으로 넘기는 장면,Yes,"핵심, 후속",직접 조사 대상에서는 성과가 없었지만 주변 수색 가능성과 팀원이 남아 있음,높음
공격 역할을 포기하고 동료를 살리는 방어 역할로 자신을 재설계하는 장면,REF-46,동료 모집보다 먼저 자기 장비와 역할을 바꾼다. 관계의 시작이 감정이 아니라 보호 비용의 선지출로 나타난다.,"47화 22,223~22,299행",2026년 8월 5일,준비,Yes,주인공,결함 있는 지원자를 기능 슬롯으로 모집하는 장면,Yes,"선행, 핵심",상층 다인 파티로 전환해야 하며 기존 공격 역할의 효율이 낮아짐,중간
보호 충동으로 팀을 위험에 빠뜨린 리더가 책임과 동기를 분리해 판정받는 장면,REF-46,리더의 선공을 물리적으로 멈춘 뒤 공개 사과를 받는다. 위험 책임은 확정하되 보호 동기는 별도로 남긴다.,"52화 24,480~24,619행",2026년 8월 5일,준비,Yes,"주인공, 리더 A, 동료들, 적대 집단",실패 직후 결함을 연쇄 공개하는 장면,Yes,"실패, 핵심",압도적 강자 앞에서 동료 모욕 때문에 리더가 감정적으로 선공하려 함,높음
버림받은 집단이 직함보다 위험을 함께 감수한 행동으로 새 리더를 선택하는 장면,REF-46,기존 리더가 도망친 뒤 남은 사람들은 자신들과 함께 남은 인물을 중심으로 재조직된다. 지휘권은 집단의 선택으로 이동한다.,"211~212화 103,615~103,971행",2026년 8월 5일,준비,Yes,"새 리더, 버림받은 구성원들, 기존 리더들",실패 뒤 선택 책임을 공동 정산하는 장면,Yes,"핵심, 후속",기존 지휘자가 구성원을 버렸고 즉시 새 지휘 체계를 만들어야 함,높음
생존 조언을 끝낸 뒤 타인의 마지막 선택을 침해하지 않는 장면,REF-46,위험 설명과 설득을 충분히 한 뒤 강제하지 않는다. 구조 가능성은 남기지만 선택권을 빼앗지 않는다.,"175화 84,555~84,689행",2026년 8월 5일,준비,Yes,"주인공, 외부 인물 A",동료 의견 뒤 최종 결정 책임을 맡는 장면,Yes,"대비, 미해결",상대가 치명적 위험을 알면서도 자기 이유로 남으려 함,중간
구성원 의견을 들은 뒤 최종 생사 결정을 리더가 떠안는 장면,REF-46,선택지는 공동 검토하지만 마지막 결정과 실패 책임은 리더가 맡는다. 게임 캐릭터가 아닌 실제 사람이 죽는다는 차이를 직접 인식한다.,"208화 101,579~101,713행",2026년 8월 5일,준비,Yes,"리더, 구성원들",버림받은 집단이 행동 기준으로 새 리더를 선택하는 장면,Yes,핵심,어느 선택도 생존을 보장하지 못하는 대규모 위험에 합류할지 결정해야 함,높음
리더 실패 뒤 각자의 결함을 공개하며 장기 동행을 선택하는 장면,REF-46,서툰 위로 하나가 결함 고백의 연쇄를 연다. 팀은 강점이 아니라 서로가 숨기던 실패와 추방 이력을 알게 된 뒤 오래가고 싶다고 말한다.,"52~53화 24,620~24,767행",2026년 8월 5일,준비,Yes,"주인공, 리더 A, 동료 B·C·D",성장한 구성원의 분배권을 다시 조정하는 장면,Yes,"핵심, 후속",첫 공동 실패 뒤 모든 구성원이 열등감과 결함을 숨기고 있음,높음
결함 있는 지원자를 기능과 통제 가능성으로 먼저 모집하는 장면,REF-46,동료 호칭은 붙지만 판단 근거는 기능·요구 조건·명령 순응이다. 사람으로의 재분류는 아직 일어나지 않았다.,"49화 22,970~23,005행",2026년 8월 5일,준비,Yes,"주인공, 지원자 A, 임시 팀장 B",결함 공개 뒤 장기 동행을 말하는 장면,Yes,"대비, 선행",필수 기능이 부족하지만 지원자는 허풍과 초행이라는 결함을 가짐,높음
성장한 구성원의 기여도를 경제 권리 변화로 반영하는 장면,REF-46,칭찬보다 분배율을 바꾼다. 구성원의 성장과 관계 변화가 다음 탐사의 실제 권리로 기록된다.,"173화 83,341~83,417행",2026년 8월 5일,준비,Yes,"주인공, 구성원 A, 파티원들",공동 전리품과 합류 시기를 함께 결정하는 장면,Yes,"대비, 후속",낮은 기여 때문에 낮은 분배율을 받던 구성원이 평균 전력에 도달함,중간
추가 구조를 도덕 명령이 아니라 집단 생존 확률로 설명하는 장면,REF-46,즉사 구역과 현재 방식의 한계를 계산해 더 많은 사람을 모으는 것이 자기 생존에도 유리하다고 설명한다.,"827화 382,820~382,967행",2026년 8월 5일,준비,Yes,"리더, 임시 동행자들",낙오자 임시 편입 / 공동체 자격 반례,Yes,"핵심, 후속",추가 구조로 위험이 늘지만 현재 소수 이동 방식도 장기 생존이 불가능함,중간
공동 전리품과 합류 시기를 각자의 외부 책임에 맞춰 조정하는 장면,REF-46,리더가 독점 결정하지 않는다. 전리품 사용권과 합류 시기를 각자의 직위·의무에 따라 함께 정한다.,"447화 220,825~220,889행",2026년 8월 5일,준비,Yes,"리더, 구성원들",성장한 구성원의 분배권 조정 / 빈 슬롯 유지,Yes,"핵심, 후속",공동 획득 자원과 복수 구성원의 외부 의무가 충돌함,중간
실패 뒤 생존자가 리더와 자기 선택의 책임을 함께 인정하는 장면,REF-46,상실을 리더 탓으로만 돌리지 않는다. 리더도 위로로 지우지 않고 자신이 내린 결정과 구성원의 동의를 함께 남긴다.,"216화 106,059~106,163행",2026년 8월 5일,준비,Yes,"리더, 상실한 구성원 A",구성원 의견 뒤 최종 결정을 맡는 장면,Yes,"미해결, 실패",공동 결정 뒤 실제 사망자가 발생함,높음
흩어진 동료를 찾는 동안 낙오자를 능력 기준으로 임시 공동체에 태우는 장면,REF-46,구조 직후 감상보다 능력·디버프·이동 가능성을 확인한다. 사람 회수와 생존 기능이 같은 행동으로 결합된다.,"825~826화 382,140~382,340행",2026년 8월 5일,준비,Yes,"주인공, 낙오자 A",죽은 동료를 소모품으로 보는 생존자 반례 / 추가 구조의 생존 논리,Yes,"대비, 후속",붕괴 중 계속 이동해야 살 수 있고 다른 생존자를 만남,높음
빈 자리를 아무나 채우지 않고 검증된 관계만 조직에 등록하는 장면,REF-46,결원을 전력 손실로 알지만 즉시 충원하지 않는다. 현재 책임 관계를 우선하고 빈자리를 열린 상태로 둔다.,"446화 220,397~220,450행",2026년 8월 5일,준비,Yes,"주인공, 현재 구성원들",공동 전리품과 합류 시기를 조정하는 장면,Yes,"대비, 후속",조직 등록 시점이지만 빈 슬롯에 넣을 검증된 후보가 없음,중간
옛 동료의 새 소속을 인정하고 자동 복귀를 요구하지 않는 장면,REF-46,과거 친밀감보다 현재 소속과 책임을 먼저 확인한다. 재회가 곧 복귀가 되지 않는다.,"382~383화 186,957~187,135행",2026년 8월 5일,준비,Yes,"주인공, 옛 동료 A, 새 동료들",빈 파티 슬롯을 급히 채우지 않는 장면,Yes,"대비, 미해결, 후속",장기 분리 뒤 옛 동료가 새 팀과 책임을 얻음,중간
유용한 생존자가 죽은 동료를 소모품으로 보자 공동체 자격을 재평가하는 장면,REF-46,능력은 쓸모 있지만 자신을 지키다 죽은 사람을 모욕한다. 전력 가치와 공동체 자격이 분리된다.,"826~827화 382,380~382,640행",2026년 8월 5일,준비,Yes,"주인공, 생존자 A, 사망한 동료들",낙오자 임시 편입 / 추가 구조의 집단 생존 논리,Yes,"대비, 실패",유용한 능력의 생존자가 자신을 보호하다 죽은 동료를 소모품 취급함,높음
발견 소유권과 살인 판단을 분리해 증거를 공적 절차로 넘기는 장면,REF-46,최초 발견권은 인정하되 범죄 혐의는 증언·신분증·기록물로 증거화해 외부 기관에 넘긴다.,"503~504화 247,639~248,015행",2026년 8월 5일,준비,Yes,"강한 탐험가, 발견 집단 A, 조사 동료들, 공적 기관",군단 지휘권 인수와 재편,Yes,"대비, 핵심",숨은 경로의 최초 발견 집단에게 살인 혐의가 있음,높음
평시 팀 자율과 비상시 전체 집결 명령을 분리하는 장면,REF-46,기존 팀의 숙련은 유지하고 공통 명령은 집결·진형에만 한정한다.,"397화 193,951~194,017행",2026년 8월 5일,준비,Yes,"총지휘자, 팀장들, 원정대원들",지휘권 수용 / 기능 책임자·보고 체계 재편,Yes,"핵심, 후속",짧은 준비 기간에 여러 숙련 팀을 하나의 대규모 원정대로 운용해야 함,중간
기존 조 편성을 기능 책임자와 정기 보고 체계로 재편하는 장면,REF-46,인원을 기능별로 다시 묶고 책임자를 세워 연구·조사·전투 보고를 받는다.,"606화 293,235~293,491행",2026년 8월 5일,준비,Yes,"군단장, 기능 책임자들, 연구 책임자",팀 자율·전체 집결 분리 / 갱신 지도 배포,Yes,"핵심, 후속",수백 명의 기존 조 편성으로 복수 기능을 동시에 관리하기 어려움,중간
탐사·연구·자원 생산을 병행하고 성과를 동료·대원·공적 몫으로 나누는 장면,REF-46,새 생산 기술을 개인 독점으로 두지 않고 탐사 지속·현장 보상·공적 반환을 함께 계산한다.,"620~621화 299,307~299,655행",2026년 8월 5일,준비,Yes,"군단장, 연구 책임자, 현장 대원들, 공적 기관",수색 우선과 조사 권한 분담 / 지도 공용화,Yes,"대비, 후속",새 자원 생산 기술의 수량과 실험 비용이 제한됨,중간
현장 구조도를 매일 갱신해 지도 복사본을 전원에게 배포하는 장면,REF-46,최신 날짜를 가진 지도 복사본이 전원에게 배포되어 개인 기억이 공용 버전 자산으로 바뀐다.,"618화 298,371~298,419행",2026년 8월 5일,준비,Yes,"군단장, 지도 책임자 A, 탐사군",기능 책임자·보고 체계 / 수색 우선과 권한 분담,Yes,"핵심, 후속",복잡한 구조가 계속 갱신되어 개인 기억만으로는 전체 수색이 불가능함,중간
희귀 연구보다 실종자 수색을 우선하고 구조 뒤 조사 권한을 분담하는 장면,REF-46,대형 연구 성과에 몰입한 집단을 다시 수색으로 돌린다. 구조 뒤 현장 조사 권한은 별도 책임자에게 남긴다.,"620화 298,977~299,235행",2026년 8월 5일,준비,Yes,"군단장, 연구 책임자 A, 수색 책임자 B, 실종자들",갱신 지도 배포 / 자원 생산·배분,Yes,"대비, 핵심",희귀 연구 성과와 실종 동료 수색이 경쟁함,높음
생존 경로를 보고해 개인 판단을 외부 지휘부의 전략 정보로 바꾸는 장면,REF-46,팀 지휘를 위임하고 직접 보고한다. 외부 지휘자는 완벽한 결과보다 필요한 선택을 했는지 판정한다.,"215화 105,245~105,477행",2026년 8월 5일,준비,Yes,"현장 리더, 임시 지휘자 A, 외부 지휘관 B",지휘 자격 기준 토론 / 팀 자율과 전체 명령 분리,Yes,"핵심, 후속",심각한 손실을 입은 생존자가 외부 지휘부에 경로·위험 정보를 보고해야 함,높음
전문 의견 충돌 뒤 지휘관이 목표와 모든 손실 책임을 확정하는 장면,REF-46,다수결로 숨지 않고 의견을 들은 뒤 한 목표를 선택하고 책임을 자기 이름으로 선언한다.,"557화 271,881~272,027행",2026년 8월 5일,준비,Yes,"사령관, 현장 전문가 A, 연구 전문가 B",승리·전사자 보고 / 공략 실패 선언,Yes,"대비, 핵심",전문가 의견이 갈리고 어느 선택도 무손실을 보장하지 못함,높음
선행 지식의 누락과 인원 손실을 인정하고 공략 실패를 선언하는 장면,REF-46,정석과 다른 결과를 성공으로 포장하지 않고 누락 정보·손실·현재 한계를 묶어 실패라고 판정한다.,"604화 292,369~292,503행",2026년 8월 5일,준비,Yes,"현장 지휘자, 탐사군, 사망한 핵심 인물",군단 지휘권 공개 인수,Yes,"실패, 핵심",선행 정보가 누락됐고 핵심 인물과 병력을 잃음,높음
무력 시험 뒤 패배자들이 정보·치밀함·결의를 재평가해 지휘권을 수용하는 장면,REF-46,승리 자체보다 준비·유인·부상 교환·지속력을 패배자들이 각자 다른 언어로 해석한다.,"394~396화 192,171~193,237행",2026년 8월 5일,준비,Yes,"승자, 패배 후보 A·B·C·D",지휘 자격 공개 토론 / 팀 자율과 전체 집결 분리,Yes,"대비, 핵심",공개 시험 승리만으로 지속 가능한 지휘 적격을 증명하기에는 부족함,높음
공식 승리 보고 뒤 전사자와 미획득 보상을 연속 배치하는 장면,REF-46,위업 선언 직후 손실과 보상 실패가 보고되어 성공 판정의 범위를 줄인다.,"559화 273,037~273,133행",2026년 8월 5일,준비,Yes,"사령관, 보고자, 탐사군",목표·책임 확정 / 전문가 오판 인정,Yes,"대비, 실패",목표 처치에는 성공했지만 다수 사망과 핵심 보상 미획득이 발생함,높음
통솔·경험·정보·신뢰를 후보별 지휘 자격으로 공개 토론하는 장면,REF-46,후보들이 서로 다른 지휘 기준을 주장해 독자가 평가 항목을 먼저 알게 된다. 판정은 말이 아닌 시험으로 넘어간다.,"393화 191,881~192,127행",2026년 8월 5일,준비,Yes,"후보 A·B·C·D·E, 후원자",실전 결과 뒤 지휘권 수용,Yes,"대비, 핵심",후원과 강점이 다른 후보들이 하나의 대규모 지휘권을 놓고 경쟁함,높음
갱신 지도와 손실 평가를 근거로 다음 목표 자문권이 확대되는 장면,REF-46,"오래 머문 경험과 제공한 지도가 회의 발언권으로 바뀌며, 제안은 조건부 경로로 제시된다.","560화 273,431~273,509행",2026년 8월 5일,준비,Yes,"현장 전문가, 사령관, 조장들",전문가 오판 인정 / 지도 공용화,Yes,"핵심, 후속",공략 손실을 반영해 다음 목적지를 정해야 함,중간
지휘 공백에서 조사 권한을 먼저 행사하고 공개 동의로 군단 지휘권을 인수하는 장면,REF-46,직함을 먼저 요구하지 않고 사고 조사와 책임 정리를 수행한다. 승계자가 거부한 뒤 공개 동의로 권한을 얻는다.,"604~605화 292,649~293,109행",2026년 8월 5일,준비,Yes,"현장 지휘자, 합법적 승계자 A, 지휘관들",공략 실패 / 기능 책임자·보고 체계 재편,Yes,"핵심, 후속",총지휘자가 사라지고 합법적 승계자도 책임을 거부함,높음
실제 손실을 본 전문가가 자기 오판을 인정하고 타인의 발언권을 높이는 장면,REF-46,전문가가 사전 평가를 고집하지 않고 전투 결과를 근거로 자기 판단을 수정한다.,"559화 273,273~273,323행",2026년 8월 5일,준비,Yes,"현장 전문가 A, 연구 전문가 B",지도 기반 다음 목표 자문,Yes,"대비, 후속",전문가의 사전 위험 평가와 실제 손실이 크게 어긋남,중간
강제 검증과 주변인 조사를 피하려 옛 신분만 인정하고 협상으로 전환하는 장면,REF-46,더 강한 검증이 주변인에게 번질 것을 계산해 동일 인물임만 인정한다. 상대의 원인 오해는 유지해 협상 가능한 정보만 연다.,"386화 188,475~188,619행",2026년 8월 5일,준비,Yes,"위장 인물, 정치 권력자 A, 동료들",숫자 기반 추론 / 선택적 공개,Yes,"핵심, 후속",상대가 거의 확신했고 강제 검증과 주변인 조사가 예상됨,높음
선택적 공개 뒤 공개 만남 대신 지연형 쌍방 종이로 제한 연락권을 만드는 장면,REF-46,사적 정체 공유가 친밀감 선언보다 만남 시간·장소와 경고만 전달하는 별도 통신망을 만든다.,"647화 309,883~309,943행",2026년 8월 5일,준비,Yes,"주인공, 과거 지인 A, 쌍방 통신 도구",선택적 공개 / 후반 제한 협력,Yes,"핵심, 후속",공개 접촉은 양쪽 현지 신분과 동맹망을 위험하게 함,중간
전투 집중을 깨기 위해 현지 신분·과거 닉네임·가면을 연쇄 공개하는 장면,REF-46,악령·현실 출신·과거 게시자·적의 가면·자신의 가면을 차례로 공개해 적의 집중을 흔든다. 공개는 고백이 아니라 공격이다.,"735화 346,163~346,245행",2026년 8월 5일,준비,Yes,"전투자 A, 적대자 B, 과거 닉네임, 가면들",초반 과거 닉네임 은폐 / 적대자의 역산,Yes,"이탈, 핵심",적이 전투에 완전히 집중해 물리 공격만으로 빈틈을 만들기 어려움,높음
질문 교환비를 협상하고 예·아니오로 사실만 고정한 뒤 판정의 빈틈을 읽는 장면,REF-46,불확실성을 부담하는 대가로 더 많은 질문권을 얻고 예·아니오로 사실을 좁힌다. 판정은 문장보다 화자의 심리와 생략에 좌우된다.,"308화 152,293~152,513행",2026년 8월 5일,준비,Yes,"질문자 A, 제작자 B, 판정 장치",묵비와 진실게임 종료,Yes,"대비, 핵심",질문별 정보량이 다르고 진실 장치가 전제와 생략을 밝히지 못함,높음
개인 질의응답을 중단하고 진실·비공유 정보 조건의 다자 시장으로 바꾸는 장면,REF-46,질문권 교환 대신 반드시 진실이며 참가자 절반 이상이 모르는 정보를 제출하는 규칙을 만든다. 검증은 여러 참가자에게 분산된다.,"309화 152,985~153,169행",2026년 8월 5일,준비,Yes,"제안자 A, 제작자 B, 참가자들",진실게임 조기 종료 / 익명 정보 시장,Yes,"핵심, 후속",양자 질문전이 정체 노출과 해석 독점을 낳음,중간
가면 말투가 현실 행동을 잠식한 경위를 확인한 뒤 임시 합류를 제안하고 배신하는 장면,REF-46,가면 역할의 기원과 목표 부재를 확인한다. 합류 제안이 수락돼도 신뢰와 폭력 기준이 정렬되지 않아 즉시 살해된다.,"737화 346,943~347,065행",2026년 8월 5일,준비,Yes,"승자 A, 패배자 B, 가면 역할",본명·출신 교환 / 정체 공개의 실패 반례,Yes,"실패, 이탈",정체와 과거는 밝혀졌지만 목표·폭력 기준·신뢰가 정렬되지 않음,높음
상호 정체 침해의 선을 확인한 뒤 필요한 층만 열고 목표 불일치는 숨기는 장면,REF-46,누가 먼저 선을 넘었는지 확인하고 가면·정보 출처를 공개한다. 그러나 귀환 의사라는 핵심 목표 불일치는 다시 숨긴다.,"647화 309,775~309,865행",2026년 8월 5일,준비,Yes,"주인공, 과거 지인 A, 제3의 플레이어 B",누적 정체 판정 / 별도 연락망,Yes,"대비, 후속",서로의 현실 정체는 추론했지만 장기 목표가 같은지는 확인되지 않음,높음
적대자가 과거 정보·살기·대면 기록을 역산해 두 가면을 하나로 합치는 장면,REF-46,"과거 원탁 정보, 정보 선점, 살기와 대면 기록을 다시 연결해 동경 대상과 증오 대상이 같은 인물임을 납득한다.","736화 346,249~346,371행",2026년 8월 5일,준비,Yes,"적대자 B, 현지 전투자 A, 원탁 가면 C",다중 가면 연쇄 공개 / 마지막 본명 교환,Yes,"대비, 후속",서로 다른 정보망에서 보아 온 두 신분이 동일하다는 공개를 받음,높음
마지막 순간 가면을 벗기고 본명·출신·귀환 의사·과거 정체를 교환하는 장면,REF-46,죽기 전 본명·출신·체류 연수·귀환 의사를 묻고 일부 사적 정체를 교환한다. 정보량은 늘지만 용서와 목표 정렬은 생기지 않는다.,"736~737화 346,639~346,833행",2026년 8월 5일,준비,Yes,"승자 A, 패배자 B, 현실 본명들",두 가면 통합 / 임시 합류 제안과 배신,Yes,"대비, 후속",적대자가 패배했고 서로의 선택 이유를 확인할 마지막 시간이 남음,높음
실명과 진입 시기를 묻는 질문에 묵비하고 정보 역유출 때문에 게임을 끝내는 장면,REF-46,상대가 위장 이름과 진입 시기를 좁히자 답변을 거부한다. 자신의 질문도 현재 위치를 드러낼 수 있어 추가 정보보다 채널 종료를 택한다.,"309화 152,811~152,973행",2026년 8월 5일,준비,Yes,"질문자 A, 조사자 B",다자 정보 제출 규칙,Yes,"이탈, 핵심",질문을 주고받을수록 양쪽 정체와 현재 위치가 좁혀짐,높음
공개 닉네임이 과거 정체를 노출하자 철자 차이로 사칭 역할을 만드는 장면,REF-46,집단이 유명 게시자라고 판단하자 철자 한 글자를 근거로 팬·사칭자 역할을 만들어 실제 정체를 다시 감춘다.,"91~92화 44,317~44,447행",2026년 8월 5일,준비,Yes,"신입, 방장 A, 참가자들",익명 공동체 인증 / 적대 상황의 과거 닉네임 공개,Yes,"대비, 오해",익명 닉네임이 과거 현실의 유명 작성자 신분과 겹침,높음
행정 숫자와 동선으로 동일 인물을 맞히지만 실종 원인은 오해하는 장면,REF-46,성장 수치·실종 기간·재등장 동선을 연결해 옛 신분은 맞힌다. 보이지 않는 원인은 가장 개연성 높은 오답으로 채운다.,"385~386화 188,321~188,465행",2026년 8월 5일,준비,Yes,"위장 인물, 정치 권력자 A",옛 신분의 제한적 인정 / 습관 기반 정체 판정,Yes,"대비, 핵심",위장 신분의 성장 기록과 기존 사망·실종 기록이 충돌함,높음
심상 공간과 생활 흔적으로 출신을 인증한 뒤 변경 불가 익명 신분을 발급하는 장면,REF-46,암구호는 눈속임이고 실제 판정은 말투·옷·심상 공간과 비공개 기준에서 이루어진다. 인증 뒤에야 변경 불가 닉네임이 생긴다.,"90~91화 44,071~44,241행",2026년 8월 5일,준비,Yes,"신입, 안내자 A, 익명 공동체",공개 닉네임으로 과거 정체가 노출될 뻔한 장면,Yes,"선행, 핵심",현지인 침입 가능성이 있어 신규 참가자의 출신을 검증해야 함,높음
